#time(s),GeodLatitude(degs),GeodLongitude(degs),GeodAltitude(m),alpha deg,beta(pitch)  deg,gamma(roll) deg
10.1,29.99978916,-40.03606083,11163.04753,123.0823384,62.47521413,16.21112969
10.2,29.99978639,-40.03654776,11177.41047,122.9270731,62.52782858,16.03574126
10.3,29.99978361,-40.03703707,11191.87476,122.7902842,62.57406696,15.88098139
10.4,29.99978082,-40.03752878,11206.44182,122.6674864,62.61514515,15.74234714
10.5,29.99977801,-40.03802287,11221.113,122.5561113,62.65241364,15.61626688
10.6,29.99977519,-40.03851934,11235.88952,122.453248,62.68648236,15.50002786
10.7,29.99977237,-40.03901819,11250.77258,122.3571753,62.71821527,15.39142122
10.8,29.99976952,-40.0395194,11265.76328,122.2660016,62.74810534,15.28853999
10.9,29.99976667,-40.04002299,11280.86269,122.1788679,62.77664796,15.18998534
11,29.99976381,-40.04052894,11296.07187,122.0944579,62.80408994,15.09460732
11.1,29.99976093,-40.04103725,11311.39182,122.0120506,62.83080465,15.00157604
11.2,29.99975804,-40.04154792,11326.82354,121.931066,62.85704128,14.91012071
11.3,29.99975514,-40.04206095,11342.36802,121.8509139,62.88279856,14.81959662
11.4,29.99975223,-40.04257633,11358.02621,121.7713086,62.90832685,14.72961729
11.5,29.99974931,-40.04309406,11373.79908,121.6918109,62.93375148,14.63972858
11.6,29.99974638,-40.04361414,11389.68759,121.6121248,62.95907218,14.54980085
11.7,29.99974343,-40.04413656,11405.69269,121.5321025,62.98428868,14.45957392
11.8,29.99974047,-40.04466133,11421.81532,121.4516032,63.00965321,14.36878384
11.9,29.9997375,-40.04518843,11438.05644,121.370478,63.03516617,14.27729793
12,29.99973452,-40.04571787,11454.41699,121.2887225,63.06070147,14.18505077
12.1,29.99973153,-40.04624964,11470.89792,121.2060432,63.08638577,14.09184231
12.2,29.99972852,-40.04678375,11487.50018,121.1225871,63.11221946,13.99780015
12.3,29.99972551,-40.04732018,11504.22472,121.038057,63.13820295,13.90266022
12.4,29.99972248,-40.04785894,11521.0725,120.9527502,63.16446356,13.80648093
12.5,29.99971944,-40.04840002,11538.04446,120.8663667,63.19087503,13.70919666
12.6,29.99971639,-40.04894342,11555.14158,120.7790532,63.21743776,13.61080406
12.7,29.99971333,-40.04948914,11572.3648,120.6905125,63.24415217,13.51129969
12.8,29.99971026,-40.05003717,11589.7151,120.6008913,63.27101871,13.41054912
12.9,29.99970717,-40.05058751,11607.19343,120.5103376,63.2981653,13.30873958
13,29.99970408,-40.05114016,11624.80078,120.4188495,63.32559275,13.20573532
13.1,29.99970097,-40.05169512,11642.53811,120.3259789,63.35304636,13.10141284
13.2,29.99969785,-40.05225238,11660.40639,120.2321706,63.38078195,12.99588706
13.3,29.99969473,-40.05281194,11678.40661,120.1372739,63.40867236,12.8892256
13.4,29.99969159,-40.05337379,11696.53975,120.0411393,63.43671805,12.78142456
13.5,29.99968843,-40.05393794,11714.80679,119.9439133,63.46491947,12.67221707
13.6,29.99968527,-40.05450438,11733.20872,119.8457419,63.49340547,12.56205058
13.7,29.9996821,-40.0550731,11751.74652,119.74618,63.5219199,12.45041128
13.8,29.99967891,-40.05564411,11770.4212,119.645817,63.55072012,12.33767219
13.9,29.99967572,-40.0562174,11789.23374,119.5442074,63.57967824,12.22377167
14,29.99967251,-40.05679297,11808.18515,119.441351,63.60866585,12.10851779
14.1,29.99966929,-40.05737081,11827.27642,119.3375394,63.6379411,11.99214967
14.2,29.99966606,-40.05795093,11846.50853,119.232626,63.66724657,11.87468378
14.3,29.99966282,-40.05853331,11865.88241,119.1267554,63.69671166,11.75617149
14.4,29.99965957,-40.05911796,11885.39902,119.0199283,63.72620743,11.63642225
14.5,29.99965631,-40.05970487,11905.0593,118.912138,63.75599314,11.51580423
14.6,29.99965303,-40.06029404,11924.8642,118.803243,63.78568057,11.39388785
14.7,29.99964975,-40.06088547,11944.81467,118.6933843,63.81552913,11.27104104
14.8,29.99964645,-40.06147916,11964.91166,118.5825598,63.84553932,11.14712688
14.9,29.99964315,-40.06207509,11985.15613,118.4707715,63.87558156,11.0220889
15,29.99963983,-40.06267327,12005.54902,118.3578703,63.90565596,10.8959237
15.1,29.9996365,-40.0632737,12026.09129,118.2441461,63.93589302,10.76881127
15.2,29.99963317,-40.06387637,12046.78389,118.129454,63.96616274,10.64056384
15.3,29.99962982,-40.06448128,12067.62779,118.0136446,63.99646523,10.51131076
15.4,29.99962646,-40.06508843,12088.62394,117.8968588,64.02693144,10.38096487
15.5,29.99962309,-40.06569781,12109.7733,117.7791067,64.05729997,10.24955669
15.6,29.99961971,-40.06630942,12131.07683,117.660375,64.08783274,10.11718064
15.7,29.99961631,-40.06692326,12152.53549,117.5408162,64.11839904,9.983650743
15.8,29.99961291,-40.06753933,12174.15023,117.4201329,64.14899898,9.849096532
15.9,29.9996095,-40.06815761,12195.92202,117.2986119,64.17976423,9.713560938
16,29.99960607,-40.06877811,12217.85183,117.175971,64.21043197,9.576946674
16.1,29.99960264,-40.06940083,12239.9406,117.0524974,64.24113372,9.439297119
16.2,29.99959919,-40.07002577,12262.18932,116.9280415,64.27186961,9.300742259
16.3,29.99959574,-40.07065291,12284.59894,116.8027407,64.30277188,9.16105517
16.4,29.99959227,-40.07128225,12307.17042,116.6763156,64.33357654,9.020410432
16.5,29.99958879,-40.0719138,12329.90473,116.5489037,64.36441571,8.8785812
16.6,29.99958531,-40.07254756,12352.80283,116.4205141,64.39515692,8.735923105
16.7,29.99958181,-40.0731835,12375.86569,116.2914206,64.42606532,8.592115634
16.8,29.9995783,-40.07382165,12399.09428,116.1611989,64.45687573,8.447473009
16.9,29.99957478,-40.07446198,12422.48955,116.030133,64.48772084,8.301630916
17,29.99957125,-40.0751045,12446.05247,115.8982211,64.51860078,8.154988491
17.1,29.99956771,-40.07574921,12469.78401,115.7653136,64.54951569,8.007272831
17.2,29.99956416,-40.0763961,12493.68513,115.6314221,64.5803322,7.858575622
17.3,29.9995606,-40.07704517,12517.7568,115.4965461,64.61105,7.708894776
17.4,29.99955703,-40.07769641,12541.99998,115.3609529,64.64193632,7.558303105
17.5,29.99955345,-40.07834983,12566.41564,115.2242394,64.67258994,7.406549072
17.6,29.99954986,-40.07900542,12591.00473,115.0868051,64.70341234,7.254010885
17.7,29.99954626,-40.07966317,12615.76823,114.9483821,64.73413562,7.100476475
17.8,29.99954265,-40.08032309,12640.7071,114.8089699,64.76475945,6.945943623
17.9,29.99953903,-40.08098516,12665.8223,114.6687164,64.79528351,6.79054559
18,29.9995354,-40.0816494,12691.11479,114.5277345,64.82597686,6.634075915
18.1,29.99953175,-40.08231579,12716.58554,114.3856301,64.85643553,6.476837009
18.2,29.9995281,-40.08298433,12742.23551,114.2428119,64.88692873,6.318485693
18.3,29.99952444,-40.08365502,12768.06565,114.0990006,64.91732144,6.159393779
18.4,29.99952077,-40.08432785,12794.07693,113.954344,64.94761333,5.999151432
18.5,29.99951709,-40.08500283,12820.27031,113.8089696,64.97793952,5.838194116
18.6,29.99951339,-40.08567995,12846.64675,113.6624725,65.00802891,5.676187465
18.7,29.99950969,-40.0863592,12873.2072,113.5152558,65.03815223,5.513324051
18.8,29.99950598,-40.08704059,12899.95262,113.3671911,65.06817369,5.349572104
18.9,29.99950226,-40.0877241,12926.88398,113.2184038,65.09822904,5.184956115
19,29.99949852,-40.08840975,12954.00222,113.0686414,65.12804592,5.019419974
19.1,29.99949478,-40.08909752,12981.30829,112.9181544,65.15789632,4.853150803
19.2,29.99949103,-40.08978741,13008.80316,112.7666928,65.18750728,4.685822
19.3,29.99948727,-40.09047942,13036.48777,112.6145293,65.21701469,4.517731065
19.4,29.99948349,-40.09117354,13064.36308,112.4614903,65.24655505,4.348761513
19.5,29.99947971,-40.09186978,13092.43003,112.3076254,65.27585451,4.178865178
19.6,29.99947592,-40.09256813,13120.68958,112.153031,65.30518653,4.008221608
19.7,29.99947212,-40.09326858,13149.14267,111.9976113,65.33427666,3.836786297
19.8,29.99946831,-40.09397114,13177.79025,111.8413399,65.36326155,3.664441382
19.9,29.99946449,-40.0946758,13206.63326,111.6843646,65.39214084,3.491184598
20,29.99946065,-40.09538256,13235.67264,111.5266849,65.4209142,3.317289618
20.1,29.99945681,-40.09609142,13264.90935,111.3681526,65.4495813,3.142478693
20.2,29.99945296,-40.09680236,13294.34432,111.2089152,65.47814177,2.967025975
20.3,29.9994491,-40.0975154,13323.97849,111.0488558,65.50645709,2.79063839
20.4,29.99944523,-40.09823053,13353.81279,110.887944,65.53466481,2.613468683
20.5,29.99944135,-40.09894773,13383.84817,110.7264758,65.56276459,2.435653522
20.6,29.99943746,-40.09966702,13414.08555,110.5641879,65.59061744,2.256901787
20.7,29.99943357,-40.10038839,13444.52588,110.4011963,65.61836135,2.077502779
20.8,29.99942966,-40.10111184,13475.17007,110.2375007,65.645996,1.897454922
20.9,29.99942574,-40.10183736,13506.01907,110.0732487,65.67352104,1.71647833
21,29.99942181,-40.10256495,13537.0738,109.9081804,65.70079689,1.534980196
21.1,29.99941787,-40.10329461,13568.33519,109.7424086,65.72796214,1.352551246
21.2,29.99941393,-40.10402634,13599.80415,109.575823,65.75487692,1.169601416
21.3,29.99940997,-40.10476013,13631.48162,109.4088311,65.78168014,0.985858406
21.4,29.99940601,-40.10549598,13663.3685,109.2410279,65.80823163,0.801455689
21.5,29.99940203,-40.10623388,13695.46573,109.0725233,65.83467057,0.616398005
21.6,29.99939805,-40.10697385,13727.77422,108.9033582,65.86085653,0.430541304
21.7,29.99939405,-40.10771586,13760.29488,108.733641,65.88692897,0.244168434
21.8,29.99939005,-40.10845993,13793.02863,108.5633715,65.91288755,0.057137835
21.9,29.99938603,-40.10920605,13825.97637,108.3923402,65.93845088,-0.130550663
22,29.99938201,-40.10995421,13859.13902,108.2208634,65.96403979,-0.31889771
22.1,29.99937798,-40.11070441,13892.51747,108.0486294,65.98923191,-0.507899618
22.2,29.99937394,-40.11145666,13926.11265,107.8758473,66.01430798,-0.697418428
22.3,29.99936989,-40.11221094,13959.92544,107.7026653,66.03926766,-0.887596384
22.4,29.99936583,-40.11296727,13993.95674,107.528734,66.06382816,-1.07828185
22.5,29.99936176,-40.11372562,14028.20747,107.3543575,66.0884124,-1.269632105
22.6,29.99935768,-40.11448601,14062.6785,107.1792366,66.11259598,-1.461485971
22.7,29.99935359,-40.11524843,14097.37074,107.0037206,66.136661,-1.653856527
22.8,29.99934949,-40.11601288,14132.28508,106.8277123,66.16046537,-1.846734537
22.9,29.99934539,-40.11677935,14167.4224,106.6510661,66.18400836,-2.040259773
23,29.99934127,-40.11754785,14202.78359,106.4740283,66.20743127,-2.23430087
23.1,29.99933715,-40.11831837,14238.36953,106.2965043,66.2305916,-2.428702938
23.2,29.99933301,-40.11909091,14274.18112,106.1183488,66.25348864,-2.623748087
23.3,29.99932887,-40.11986546,14310.21922,105.9398608,66.27612169,-2.819291842
23.4,29.99932472,-40.12064203,14346.48471,105.7608385,66.29863255,-3.01520619
23.5,29.99932056,-40.12142062,14382.97848,105.5813394,66.32087825,-3.211616342
23.6,29.99931638,-40.12220122,14419.70138,105.4015145,66.34285809,-3.408376819
23.7,29.9993122,-40.12298383,14456.65429,105.2212187,66.36457136,-3.605771072
23.8,29.99930802,-40.12376844,14493.83809,105.0405427,66.38616042,-3.803388749
23.9,29.99930382,-40.12455507,14531.25362,104.8593128,66.40733862,-4.001471055
24,29.99929961,-40.1253437,14568.90176,104.6778551,66.42839149,-4.200060091
24.1,29.99929539,-40.12613433,14606.78337,104.4959366,66.44917531,-4.398987676
24.2,29.99929117,-40.12692697,14644.89929,104.3137085,66.46968941,-4.598106713
24.3,29.99928693,-40.1277216,14683.2504,104.1310259,66.48993313,-4.797845972
24.4,29.99928269,-40.12851824,14721.83753,103.9481223,66.51004956,-4.997799245
24.5,29.99927844,-40.12931687,14760.66154,103.7646874,66.52975066,-5.198050636
24.6,29.99927417,-40.13011749,14799.72328,103.5811842,66.54932341,-5.398655943
